name,begin_date,end_date,type,cancelled,disambiguation,setlist,time,edit_note,rel0_target,rel0_type,rel0_target_credit,rel1_target,rel1_type,rel1_target_credit,rel2_target,rel2_type,rel2_target_credit,rel3_target,rel3_type,rel3_target_credit,rel4_target,rel4_type,rel4_target_credit,rel5_target,rel5_type,rel5_target_credit,rel6_target,rel6_type,rel6_target_credit,rel7_target,rel7_type,rel7_target_credit,place_plain,main_performers_plain,supporting_acts_plain,supporting_act_1,supporting_act_2,supporting_act_3,supporting_act_4,supporting_act_5,supporting_act_6
Docents at The Broadway,2024-09-13,2024-09-13,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,The Broadway,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Suburband Speed,492a850e-97eb-306a-a85e-4b6d98527796,,Femcel,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,The Broadway,Docents,Suburband Speed; Femcel,Suburband Speed,Femcel,,,,
Docents at Trans Pecos,2024-09-28,2024-09-28,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Trans Pecos,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Kal Marks,492a850e-97eb-306a-a85e-4b6d98527796,,Shutups,492a850e-97eb-306a-a85e-4b6d98527796,,Bloodsports,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Trans Pecos,Docents,Kal Marks; Shutups; Bloodsports,Kal Marks,Shutups,Bloodsports,,,
Docents at Alphaville,2024-11-15,2024-11-15,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Alphaville,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Rong,492a850e-97eb-306a-a85e-4b6d98527796,,Pew Pew,492a850e-97eb-306a-a85e-4b6d98527796,,Cronies,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Alphaville,Docents,Rong; Pew Pew; Cronies,Rong,Pew Pew,Cronies,,,
Docents at Pleasuretone,2024-11-16,2024-11-16,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Pleasuretone,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Pew Pew,492a850e-97eb-306a-a85e-4b6d98527796,,Vesuvian,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Pleasuretone,Docents,Pew Pew; Vesuvian,Pew Pew,Vesuvian,,,,
Docents at O’briens,2024-11-17,2024-11-17,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,O’briens,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Pew Pew,492a850e-97eb-306a-a85e-4b6d98527796,,Weird Machine,492a850e-97eb-306a-a85e-4b6d98527796,,Misuser,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,O’briens,Docents,Pew Pew; Weird Machine; Misuser,Pew Pew,Weird Machine,Misuser,,,
Docents at Third Rail,2024-12-13,2024-12-13,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Third Rail,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Saturnalias,492a850e-97eb-306a-a85e-4b6d98527796,,Retail Drugs,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Third Rail,Docents,Saturnalias; Retail Drugs,Saturnalias,Retail Drugs,,,,
Docents at Alphaville,2025-01-16,2025-01-16,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Alphaville,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Medium,492a850e-97eb-306a-a85e-4b6d98527796,,Plant Fight,492a850e-97eb-306a-a85e-4b6d98527796,,CS Cleaners,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Alphaville,Docents,Medium; Plant Fight; CS Cleaners,Medium,Plant Fight,CS Cleaners,,,
Docents at Trans Pecos,2025-03-26,2025-03-26,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Trans Pecos,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Wesley Wolfe,492a850e-97eb-306a-a85e-4b6d98527796,,Chaepter,492a850e-97eb-306a-a85e-4b6d98527796,,Or Best Offer,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Trans Pecos,Docents,Wesley Wolfe; Chaepter; Or Best Offer,Wesley Wolfe,Chaepter,Or Best Offer,,,
Docents at Union Pool,2025-04-03,2025-04-03,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Union Pool,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Dog Date,492a850e-97eb-306a-a85e-4b6d98527796,,CS Cleaners,492a850e-97eb-306a-a85e-4b6d98527796,,The Tourniquet,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Union Pool,Docents,Dog Date; CS Cleaners; The Tourniquet,Dog Date,CS Cleaners,The Tourniquet,,,
Docents at Purgatory,2025-04-11,2025-04-11,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Purgatory,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Shiverboard,492a850e-97eb-306a-a85e-4b6d98527796,,Misuser,492a850e-97eb-306a-a85e-4b6d98527796,,Libby Quinn,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Purgatory,Docents,Shiverboard; Misuser; Libby Quinn,Shiverboard,Misuser,Libby Quinn,,,
Docents at Berlin,2025-08-01,2025-08-01,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Berlin,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Kareem Rahma+Tiny Gun,492a850e-97eb-306a-a85e-4b6d98527796,,Emily Allen,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Berlin,Docents,Kareem Rahma+Tiny Gun; Emily Allen,Kareem Rahma+Tiny Gun,Emily Allen,,,,
Docents at The Broadway,2025-09-07,2025-09-07,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,The Broadway,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Trash Tv,492a850e-97eb-306a-a85e-4b6d98527796,,Lahnah,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,The Broadway,Docents,Trash Tv; Lahnah,Trash Tv,Lahnah,,,,
Docents at Purgatory,2025-09-30,2025-09-30,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Purgatory,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Virginia Creeper,492a850e-97eb-306a-a85e-4b6d98527796,,Or Best Offer,492a850e-97eb-306a-a85e-4b6d98527796,,Forrest Philpot Band,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Purgatory,Docents,Virginia Creeper; Or Best Offer; Forrest Philpot Band,Virginia Creeper,Or Best Offer,Forrest Philpot Band,,,
Docents at Erf World,2025-10-23,2025-10-23,1,,Docents Fall Tour ’25,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Erf World,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Pew Pew,492a850e-97eb-306a-a85e-4b6d98527796,,Wesley Wolfe,492a850e-97eb-306a-a85e-4b6d98527796,,Amiture Music,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Erf World,Docents,Pew Pew; Wesley Wolfe; Amiture Music,Pew Pew,Wesley Wolfe,Amiture Music,,,
Docents at The Pouch,2025-10-24,2025-10-24,1,,Docents Fall Tour ’25,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,The Pouch,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Pew Pew,492a850e-97eb-306a-a85e-4b6d98527796,,Microgoblet,492a850e-97eb-306a-a85e-4b6d98527796,,Carpet Floor,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,The Pouch,Docents,Pew Pew; Microgoblet; Carpet Floor,Pew Pew,Microgoblet,Carpet Floor,,,
Docents at Scott’s House,2025-10-25,2025-10-25,1,,Docents Fall Tour ’25,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Scott’s House,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Pew Pew,492a850e-97eb-306a-a85e-4b6d98527796,,Tosser,492a850e-97eb-306a-a85e-4b6d98527796,,Humidifier,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Scott’s House,Docents,Pew Pew; Tosser; Humidifier,Pew Pew,Tosser,Humidifier,,,
Docents at Oak City Cycling,2025-10-27,2025-10-27,1,,Docents Fall Tour ’25,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Oak City Cycling,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Mr Piss,492a850e-97eb-306a-a85e-4b6d98527796,,Acid Swimmer,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Oak City Cycling,Docents,Mr Piss; Acid Swimmer,Mr Piss,Acid Swimmer,,,,
Docents at Snug Harbor,2025-10-28,2025-10-28,1,,Docents Fall Tour ’25,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Snug Harbor,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Patois Counselors,492a850e-97eb-306a-a85e-4b6d98527796,,Ruminations,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Snug Harbor,Docents,Patois Counselors; Ruminations,Patois Counselors,Ruminations,,,,
Docents at 125 Glenhaven,2025-10-30,2025-10-30,1,,Docents Fall Tour ’25,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,125 Glenhaven,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Penny Loafer,492a850e-97eb-306a-a85e-4b6d98527796,,ETC,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,125 Glenhaven,Docents,Penny Loafer; ETC,Penny Loafer,ETC,,,,
Docents at Rocky Mountain Pizza Co.,2025-10-31,2025-10-31,1,,Docents Fall Tour ’25,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Rocky Mountain Pizza Co.,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Tunnels,492a850e-97eb-306a-a85e-4b6d98527796,,Assembly,492a850e-97eb-306a-a85e-4b6d98527796,,Coma Therapy,492a850e-97eb-306a-a85e-4b6d98527796,,Tongues of Fire,492a850e-97eb-306a-a85e-4b6d98527796,,Beagle,492a850e-97eb-306a-a85e-4b6d98527796,,,,,Rocky Mountain Pizza Co.,Docents,Tunnels; Assembly; Coma Therapy; Tongues of Fire; Beagle,Tunnels,Assembly,Coma Therapy,Tongues of Fire,Beagle,
Docents at DRKMTTR Collective,2025-11-01,2025-11-01,1,,Docents Fall Tour ’25,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,DRKMTTR Collective,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Soot,492a850e-97eb-306a-a85e-4b6d98527796,,Bats,492a850e-97eb-306a-a85e-4b6d98527796,,Impediment,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,DRKMTTR Collective,Docents,Soot; Bats; Impediment,Soot,Bats,Impediment,,,
Docents at Trans Pecos,2026-03-08,2026-03-08,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Trans Pecos,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Or Best Offer,492a850e-97eb-306a-a85e-4b6d98527796,,Grinning,492a850e-97eb-306a-a85e-4b6d98527796,,Marblemouth,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Trans Pecos,Docents,Or Best Offer; Grinning; Marblemouth,Or Best Offer,Grinning,Marblemouth,,,
Docents at Purgatory,2026-05-01,2026-05-01,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Purgatory,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Penny Loafer,492a850e-97eb-306a-a85e-4b6d98527796,,Ringing,492a850e-97eb-306a-a85e-4b6d98527796,,Nat Shaheen,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Purgatory,Docents,Penny Loafer; Ringing; Nat Shaheen,Penny Loafer,Ringing,Nat Shaheen,,,
Docents at Purgatory,2026-05-28,2026-05-28,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Purgatory,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Coma Therapy,492a850e-97eb-306a-a85e-4b6d98527796,,Nettle,492a850e-97eb-306a-a85e-4b6d98527796,,Arizona Young,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Purgatory,Docents,Coma Therapy; Nettle; Arizona Young,Coma Therapy,Nettle,Arizona Young,,,
Docents at The Broadway,2026-07-26,2026-07-26,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,The Broadway,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Warmachine,492a850e-97eb-306a-a85e-4b6d98527796,,Sodaseas,492a850e-97eb-306a-a85e-4b6d98527796,,Wince,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,The Broadway,Docents,Warmachine; Sodaseas; Wince,Warmachine,Sodaseas,Wince,,,
